Name;Dual Bound;Primal Bound;Gap%;Nodes;Time;Status;Solution
bab2;-358371.652;-356520.395;0.5;1279;7201;stopped;ok
eil33-2;934.007916;934.007916;0.0;1285;51;ok;ok
seymour1;410.763701;410.763701;0.0;1370;45;ok;ok
neos-3083819-nubu;6307996;6307996;0.0;1385;10;ok;ok
academictimetablesmall;8.8817842e-16;1E+20;--;1663;7200;stopped;--
map16715-04;-111;-111;0.0;1670;937;ok;ok
binkar10_1;6742.20002;6742.20002;0.0;1829;17;ok;ok
n5-3;8105;8105;0.0;1874;40;ok;ok
nursesched-medium-hint03;81.5568013;234;186.9;1946;7201;stopped;ok
thor50dday;36032.7827;40423;12.2;2005;7201;stopped;ok
ns1208400;2;2;0.0;2049;465;ok;ok
30n20b8;302;302;0.0;2053;150;ok;ok
neos-4722843-widden;25009.6634;25009.6634;0.0;2170;306;ok;ok
neos17;0.150002577;0.150002577;0.0;2298;4;ok;ok
sing44;8119125.79;8134312.2;0.2;2404;7200;stopped;ok
bab6;-285429.762;-282831.84;0.9;2602;7201;stopped;ok
comp21-2idx;54.4701891;130;138.7;2614;7200;stopped;ok
neos-3216931-puriri;71320;71320;0.0;2667;3473;ok;ok
chromaticindex512-7;4;4;0.0;2836;1100;ok;ok
fiball;138;138;0.0;3048;170;ok;ok
brazil3;24;258;975.0;3730;7200;stopped;ok
comp07-2idx;6;48;700.0;3853;7200;stopped;ok
roi2alpha3n4;-63.2084921;-63.2084921;0.0;4920;399;ok;ok
germanrr;46878725.7;47607370.1;1.6;5890;7200;stopped;ok
neos-4300652-rahue;0.83734173;2.2973;174.4;6023;7200;stopped;ok
ns1830653;20622;20622;0.0;6269;146;ok;ok
bnatt400;1;1;0.0;6537;151;ok;ok
irish-electricity;3680338.06;3738035.68;1.6;7373;7201;stopped;ok
sing326;7748019.86;7758978.19;0.1;7449;7201;stopped;ok
co-100;2639942.06;2639942.06;0.0;7997;3244;ok;ok
supportcase40;24256.3123;24256.3123;0.0;8147;966;ok;ok
peg-solitaire-a3;1;1E+20;--;8405;7200;stopped;--
neos-1354092;44.4285714;1E+20;--;9418;7201;stopped;--
mcsched;211913;211913;0.0;9535;217;ok;ok
neos-1171737;-195;-194;0.5;9703;7200;stopped;ok
proteindesign122trx11p8;1735.70939;1750;0.8;10028;7201;stopped;ok
swath3;397.761344;397.761344;0.0;11144;85;ok;ok
neos-1456979;176;176;0.0;12426;3485;ok;ok
atlanta-ip;90.0098786;90.0098786;0.0;13744;3761;ok;ok
supportcase12;-7559.53305;-7490.52691;0.9;13991;7202;stopped;ok
neos-5188808-nattai;0.110287132;0.110287132;0.0;15352;1355;ok;ok
roi5alpha10n8;-66.6521895;-49.9556211;33.4;16005;7201;stopped;ok
cvs16r128-89;-113.533482;-96;18.3;16433;7200;stopped;ok
eilA101-2;820.683401;924.595733;12.7;17719;7201;stopped;ok
supportcase6;47206.7759;51907.3178;10.0;17909;7201;stopped;ok
mik-250-20-75-4;-52301;-52301;0.0;17927;36;ok;ok
ns1952667;0;0;0.0;19347;1836;ok;ok
bnatt500;1E+20;1E+20;--;20807;415;ok;--
CMS750_4;252;252;0.0;21413;885;ok;ok
chromaticindex1024-7;3;4;33.3;22215;7200;stopped;ok
rocI-4-11;-6020203;-6020203;0.0;22243;91;ok;ok
s250r10;-0.171780483;-0.171780483;0.0;24056;1581;ok;ok
neos-4387871-tavua;29.9965116;33.38473;11.3;26031;7200;stopped;ok
timtab1;764772;764772;0.0;26692;52;ok;ok
neos-4647030-tutaki;27265.1929;27268.4815;0.0;28392;7201;stopped;ok
sorrell3;-18.8210417;-16;17.6;29029;7201;stopped;ok
csched008;173;173;0.0;31303;556;ok;ok
neos-662469;184380;184380;0.0;36874;3038;ok;ok
snp-02-004-104;586788492;586803382;0.0;42868;7201;stopped;ok
rococoC10-001000;11460;11460;0.0;45738;633;ok;ok
uct-subprob;314;314;0.0;47598;1227;ok;ok
supportcase33;-345;-345;0.0;49218;2538;ok;ok
b1c1s1;21566.6809;24768.76;14.8;59282;7200;stopped;ok
neos-5195221-niemur;0.0038354964;0.0038354964;0.0;59299;1182;ok;ok
neos-5093327-huahum;6260;6260;0.0;61814;5196;ok;ok
neos-4738912-atrato;283627957;283627957;0.0;66679;542;ok;ok
sp98ar;529740623;529740623;0.0;72153;3675;ok;ok
proteindesign121hz512p9;1447.65864;1480;2.2;75453;7201;stopped;ok
supportcase18;47.1866667;49;3.8;78032;7200;stopped;ok
csched007;351;351;0.0;92266;1508;ok;ok
bppc4-08;53;53;0.0;109275;1643;ok;ok
sp97ar;659454600;660705646;0.2;115855;7200;stopped;ok
fastxgemm-n2r6s0t2;230;230;0.0;116834;406;ok;ok
cmflsp50-24-8-8;55646595.8;55789389.9;0.3;129341;7200;stopped;ok
trento1;5186595.94;5189531;0.1;132952;7200;stopped;ok
radiationm40-10-02;155322.074;204994;32.0;137042;7201;stopped;ok
momentum1;97744.5962;109191.085;11.7;144113;7200;stopped;ok
uccase12;11507.3684;11507.4051;0.0;145327;7201;stopped;ok
glass4;1.2000126e+09;1.2000126e+09;0.0;153562;242;ok;ok
supportcase42;7.75863072;7.75863072;0.0;175999;2329;ok;ok
pg5_34;-14339.3534;-14339.3534;0.0;180891;4360;ok;ok
rococoB10-011000;17424.1619;19449;11.6;182105;7200;stopped;ok
neos-3024952-loue;26728.1031;26766;0.1;201171;7201;stopped;ok
neos-2746589-doon;2006.0898;2009;0.1;210612;7201;stopped;ok
lectsched-5-obj;15;35;133.3;239236;7200;stopped;ok
glass-sc;23;23;0.0;242256;1961;ok;ok
neos-3627168-kasai;988585.62;988585.62;0.0;247215;295;ok;ok
mas76;40005.0541;40005.0541;0.0;250221;59;ok;ok
cost266-UUE;25148940.6;25148940.6;0.0;273638;2834;ok;ok
n3div36;130800;130800;0.0;288563;7063;ok;ok
ran14x18-disj-8;3712;3712;0.0;291502;862;ok;ok
seymour;420.197945;423;0.7;296800;7200;stopped;ok
wachplan;-8;-8;0.0;303150;2174;ok;ok
pk1;11;11;0.0;334288;75;ok;ok
tr12-30;130596;130596;0.0;345154;400;ok;ok
radiationm18-12-05;17564.8263;17567;0.0;345855;7201;stopped;ok
blp-ar98;6190.46092;6205.21471;0.2;378605;7200;stopped;ok
mushroom-best;0.0553337612;0.0553337612;0.0;390829;4180;ok;ok
neos-4954672-berkel;2388633.94;2622548;9.8;402011;7202;stopped;ok
milo-v12-6-r2-40-1;326481.143;326481.143;0.0;412157;4302;ok;ok
traininstance6;28290;28290;0.0;468118;987;ok;ok
blp-ic98;4477.55207;4491.44758;0.3;471523;7201;stopped;ok
reblock115;-36800603.2;-36800603.2;0.0;618898;3712;ok;ok
neos-2978193-inde;-2.39999502;-2.38806169;0.5;626492;7201;stopped;ok
rd-rplusc-21;100;168572.52;Large;645773;7201;stopped;ok
dws008-01;31124.892;37412.6046;20.2;747985;7202;stopped;ok
var-smallemery-m6j6;-149.375;-149.375;0.0;755153;4090;ok;ok
sct2;-231.047392;-230.989162;0.0;909134;7201;stopped;ok
rocII-5-11;-6.67550473;-6.67550473;0.0;1045049;6628;ok;ok
50v-10;3268.50595;3313.17999;1.4;1104554;7201;stopped;ok
fhnw-binpack4-4;1E+20;1E+20;--;1129294;397;ok;--
icir97_tension;6375;6375;0.0;1461563;4040;ok;ok
gmu-35-50;-2608070.29;-2607266.34;0.0;1542703;7205;stopped;ok
traininstance2;10670;72200;576.7;1835426;7201;stopped;ok
neos-5107597-kakapo;2142;3654;70.6;1853418;7200;stopped;ok
markshare_4_0;1;1;0.0;1904401;83;ok;ok
ic97_potential;3935.9221;3942;0.2;1923860;7200;stopped;ok
neos-3004026-krka;0;1E+20;--;2077015;7200;stopped;--
neos5;15;15;0.0;2437610;558;ok;ok
graphdraw-domain;19686;19686;0.0;2462573;783;ok;ok
neos-4338804-snowy;1447;1477;2.1;3368796;7201;stopped;ok
supportcase26;1655.64971;1745.12418;5.4;3914568;7202;stopped;ok
gmu-35-40;-2406886.41;-2406481.11;0.0;4371395;7207;stopped;ok
gen-ip054;6840.96564;6840.96564;0.0;4492925;475;ok;ok
neos-3046615-murg;587.776266;1604;172.9;5276774;7206;stopped;ok
gen-ip002;-4783.73339;-4783.73339;0.0;5453901;658;ok;ok
assign1-5-8;203.44682;212;4.2;6192038;7202;stopped;ok
fhnw-binpack4-48;0;1E+20;--;6395043;7201;stopped;--
mas74;11801.1857;11801.1857;0.0;7476416;1083;ok;ok
markshare2;0;16;--;9165191;7205;stopped;ok
mad;0.00274765918;0.0268;875.4;16217532;7205;stopped;ok
neos-2657525-crna;0;8.2809932;--;19253157;7201;stopped;ok
neos-3754480-nidda;-115156.727;13039.8273;--;43976038;7206;stopped;ok
